Category,Original Text,Normalized Value,Normalized Value Corrected
DATE,18.7.63,2063-07-18,2063-07-18
DATE,now,2065-07-30,2063-07-18
DATE,5/10/1999,1999-05-10,1999-10-05
TIME,16/05/2013 at 08:59,2013-05-16T08:59,2013-05-16T08:59
DATE,18.7.63,2063-07-18,2063-07-18
DATE,24/7/2063,2063-07-24,2063-07-24
DATE,19.7.63,2063-07-19,2063-07-19
DATE,22/7/2063,2063-07-22,2063-07-22
DATE,5.9.63,2063-09-05,2063-09-05
SET,years,RP1D,RP1D
TIME,5pm on 16.5.13,2013-05-16T17:00,2013-05-16T17:00
DATE,19.7.63,2063-07-19,2063-07-19
DATE,30/7/2063,2063-07-30,2063-07-30
DATE,29.7.63,2063-07-29,2063-07-29
DATE,28/4/1975,1975-04-28,1975-04-28
TIME,20/05/2013 at 12:01,2013-05-20T12:01,2013-05-20T12:01
DATE,7/2/63,2063-07-02,2063-02-07
DATE,23.7.63,2063-07-23,2063-07-23
DATE,2/7/63,2063-07-02,2063-07-02
DATE,30.7.2063,2063-07-30,2063-07-30
DATE,15/8/2063,2063-08-15,2063-08-15
DATE,14.8.63,2063-08-14,2063-08-14
DATE,14/8/1988,1988-08-14,1988-08-14
TIME,07/06/2013at 10:16,2013-06-07T10:16,2013-06-07T10:16
DATE,9.8.63,2063-08-09,2063-08-09
DATE,23/8/2063,2063-08-23,2063-08-23
DATE,20/8/63,2063-08-20,2063-08-20
DATE,26/7/1972,1972-07-26,1972-07-26
TIME,25/07/2013 at 11:45,2013-07-25T11:45,2013-07-25T11:45
DATE,28.9.63,2063-09-28,2063-09-28
DATE,3/10/2063,2063-10-03,2063-10-03
DATE,3.9.63,2063-09-03,2063-09-03
DATE,15/7/1990,1990-07-15,1990-07-15
TIME,29/07/2013 at 15:53,2013-07-29T15:53,2013-07-29T15:53
DATE,9.2.63,2063-09-02,2063-02-09
TIME,at 4.38 on 29.07.13,2013-07-29T04:38,2013-07-29T04:38
DATE,7/10/2063,2063-10-07,2063-10-07
DATE,2/9/63,2063-09-02,2063-09-02
DATE,10/11/2063,2063-10-11,2063-11-10
DATE,10.11.63,2063-10-11,2063-11-10
TIME,17.25 on 30/7/13,2013-07-30T17:25,2013-07-30T17:25
DATE,9/3/63,2063-09-03,2063-03-09
DATE,10.11.63,2063-10-11,2063-11-10
DATE,12/9/2014,2014-09-12,2014-09-12
TIME,31/07/2013 at 12:07,2013-07-31T12:07,2013-07-31T12:07
DATE,3/10/63,2063-03-10,2063-10-03
DATE,25/1/1991,1991-01-25,1991-01-25
DATE,7.10.63,2063-10-07,2063-10-07
DATE,5/10/1997,1997-05-10,1997-10-05
TIME,05/08/2013 at 14:29,2013-08-05T14:29,2013-08-05T14:29
DATE,10.8.63,2063-10-08,2063-08-10
DATE,17/2/2010,2010-02-17,2010-02-17
DATE,8/10/2063,2063-10-08,2063-10-08
TIME,on 06.08.13 at 6.00pm,2013-08-06T18:00,2013-08-06T18:00
TIME,06.08.13 at 6.00pm,2013-08-06T18:00,2013-08-06T18:00
DATE,9.10.63,2063-10-09,2063-10-09
DATE,30/7/1975,1975-07-30,1975-07-30
TIME,07/08/2013 at 12:28,2013-08-07T12:28,2013-08-07T12:28
DATE,10/10/63,2063-10-10,2063-10-10
DATE,28/9/1997,1997-09-28,1997-09-28
TIME,05/08/2013 at 15:18,2013-08-05T15:18,2013-08-05T15:18
TIME,4.22pm on 05.08.13,2013-08-05T16:22,2013-08-05T16:22
DATE,10.8.63,2063-10-08,2063-08-10
DATE,14/10/2063,2063-10-14,2063-10-14
DATE,10.10.63,2063-10-10,2063-10-10
TIME,at 2:10pm on 07.08.13,2013-08-07T14:10,2013-08-07T14:10
DATE,14/9/2027,2027-09-14,2027-09-14
DATE,10/9/2063,2063-10-09,2063-09-10
DATE,12/3/63,2063-12-03,2063-03-12
TIME,16:10 on 7.8.13,2013-08-07T16:10,2013-08-07T16:10
DATE,10.10.63,2063-10-10,2063-10-10
DATE,12/3/63,2063-12-03,2063-03-12
DATE,07-Aug-13,2063-10-09,2013-08-07
TIME,23-Sep-13 14:00,2013-09-23,2013-09-23T14:00
DATE,Wednesday,2063-11-27,
DATE,27 November 2063,2063-11-27,2063-11-27
DATE,27/11/63,2063-11-27,2063-11-27
DATE,1/10/1998,1998-01-10,1998-10-01
TIME,08/08/2013 at 18:16,2013-08-08T18:16,2013-08-08T18:16
DATE,10.11.63,2063-10-11,2063-11-10
DATE,1/9/1994,1994-01-09,1994-09-01
TIME,09/08/2013 at 09:48,2013-08-09T09:48,2013-08-09T09:48
DATE,10/11/63,2063-10-11,2063-11-10
DATE,23.10.63,2063-10-23,2063-10-23
DATE,19/6/2013,2013-06-19,2013-06-19
TIME,08/08/2013 at 10:08,2013-08-08T10:08,2013-08-08T10:08
DATE,11.10.63,2063-10-11,2063-10-11
DATE,14.10.63,2063-10-14,2063-10-14
DATE,21.10.2063,2063-10-21,2063-10-21
DATE,12/3/2020,2020-03-12,2020-03-12
DATE,11/10/63,2063-10-11,2063-10-11
DATE,20.11.63,2063-11-20,2063-11-20
DATE,19.12.63,2063-12-19,2063-12-19
DATE,17/7/1990,1990-07-17,1990-07-17
TIME,12/08/2013 at 20:08,2013-08-12T20:08,2013-08-12T20:08
DATE,16/10/63,2063-10-16,2063-10-16
DATE,16/5/2003,2003-05-16,2003-05-16
DATE,22/10/2063,2063-10-22,2063-10-22
TIME,at 5.45pm 20/8/13,2013-08-20T17:45,2013-08-20T17:45
DATE,24/10/63,2063-10-24,2063-10-24
DATE,2/10/2063,2063-10-02,2063-10-02
DATE,28.10.63,2063-10-28,2063-10-28
DATE,24/4/1987,1987-04-24,1987-04-24
DATE,24/10/2063,2063-10-24,2063-10-24
DATE,25/10/63,2063-10-25,2063-10-25
DATE,8/9/2036,2036-09-08,2036-09-08
TIME,26/03/2014 at 13:20,2014-03-26T13:20,2014-03-26T13:20
DATE,3/5/64,2064-05-03,2064-05-03
DATE,7/8/2064,2064-07-08,2064-08-07
DATE,7/8/64,2064-07-08,2064-08-07
DATE,25/7/1992,1992-07-25,1992-07-25
TIME,28/04/2014 at 17:37,2014-04-28T17:37,2014-04-28T17:37
DATE,7/9/64,2064-07-09,2064-09-07
DATE,6.1.64,2064-06-01,2064-01-06
DATE,7/9/64,2064-07-09,2064-09-07
DATE,7/3/2008,2008-07-03,2008-03-07
TIME,20/05/2013 at 15:37,2013-05-20T15:37,2013-05-20T15:37
DATE,23.7.63,2063-07-23,2063-07-23
DATE,21/6/1983,1983-06-21,1983-06-21
TIME,22/05/2013at 11:30,2013-05-22T11:30,2013-05-22T11:30
DATE,25/7/63,2063-07-25,2063-07-25
DATE,9.8.63,2063-08-09,2063-08-09
DATE,7/11/1990,1990-11-07,1990-11-07
DATE,6.8.63,2063-08-06,2063-08-06
DATE,today,2063-08-21,2063-08-06
TIME,12.50 on 27.05.13,2013-05-27T12:50,2013-05-27T12:50
DATE,30.7.63,2063-07-30,2063-07-30
DATE,6.8.63,2063-08-06,2063-08-06
DATE,22/10/63,2063-10-22,2063-10-22
DATE,8/11/1999,1999-11-08,1999-11-08
TIME,23/05/2013 at 10:50,2013-05-23T10:50,2013-05-23T10:50
DATE,16.8.2063,2063-08-16,2063-08-16
DATE,July 2062,2062-07,2062-07
DATE,26.7.63,2063-07-26,2063-07-26
DATE,16.8.63,2063-08-16,2063-08-16
DATE,12/4/2003,2003-04-12,2003-04-12
TIME,27/05/2013 at 09:00,2013-05-27T09:00,2013-05-27T09:00
DATE,29.7.63,2063-07-29,2063-07-29
DATE,29/4/2001,2001-04-29,2001-04-29
TIME,27/05/2013 at 08:58,2013-05-27T08:58,2013-05-27T08:58
DATE,29.7.63,2063-07-29,2063-07-29
DATE,17/6/1982,1982-06-17,1982-06-17
TIME,29/05/2013 at 16:13,2013-05-29T16:13,2013-05-29T16:13
DATE,1990,1990,1990
DATE,2.7.63,2063-07-02,2063-07-02
DATE,7/7/2005,2005-07-07,2005-07-07
TIME,30/05/2013 at 16:00,2013-05-30T16:00,2013-05-30T16:00
DATE,7.3.63,2063-07-03,2063-03-07
DATE,6/9/1986,1986-06-09,1986-09-06
TIME,12/06/2013 at 15:24,2013-06-12T15:24,2013-06-12T15:24
DATE,19.8.63,2063-08-19,2063-08-19
DATE,15.8.63,2063-08-15,2063-08-15
DATE,19.8.63,2063-08-19,2063-08-19
DATE,8/8/2063,2063-08-08,2063-08-08
DATE,8.7.63,2063-08-07,2063-07-08
DATE,13/8/2063,2063-08-13,2063-08-13
DATE,2058,2058,2058
DATE,8.8.63,2063-08-08,2063-08-08
DATE,13/8/2063,2063-08-13,2063-08-13
DATE,8/8/63,2063-08-08,2063-08-08
DATE,23/8/2063,2063-08-23,2063-08-23
DATE,23.8.63,2063-08-23,2063-08-23
DATE,8.8.63,2063-08-08,2063-08-08
DATE,23.8.63,2063-08-23,2063-08-23
DATE,19/8/2017,2017-08-19,2017-08-19
DATE,8/8/2063,2063-08-08,2063-08-08
DATE,28.8.63,2063-08-28,2063-08-28
DATE,7.9.63,2063-09-07,2063-09-07
TIME,14.00 on 6/6/13,2013-06-06T14:00,2013-06-06T14:00
DATE,9/8/63,2063-08-09,2063-08-09
DATE,28.8.63,2063-08-28,2063-08-28
DATE,7.9.2063,2063-09-07,2063-09-07
DATE,7/6/1986,1986-07-06,1986-06-07
DATE,8/8/2063,2063-08-08,2063-08-08
TIME,12.00pm on 6/6/13,2013-06-06T12:00,2013-06-06T12:00
DATE,8/9/63,2063-08-09,2063-09-08
DATE,13/8/63,2063-08-13,2063-08-13
DATE,16/8/2063,2063-08-16,2063-08-16
DATE,today,2063-08-21,2063-08-16
DATE,2062,2062,2062
DATE,15/8/63,2063-08-15,2063-08-15
DATE,20/8/2063,2063-08-20,2063-08-20
DATE,15/8/63,2063-08-15,2063-08-15
DATE,15/11/2013,2013-11-15,2013-11-15
DATE,15.8.63,2063-08-15,2063-08-15
DATE,6.9.63,2063-09-06,2063-09-06
DATE,23/8/2063,2063-08-23,2063-08-23
DATE,16.8.63,2063-08-16,2063-08-16
DATE,22/8/2063,2063-08-22,2063-08-22
DATE,20/8/63,2063-08-20,2063-08-20
DATE,29/4/1996,1996-04-29,1996-04-29
DATE,23.8.63,2063-08-23,2063-08-23
DATE,17/7/2003,2003-07-17,2003-07-17
DATE,9.11.63,2063-09-11,2063-11-09
DATE,10/9/2063,2063-10-09,2063-09-10
DATE,10.7.63,2063-10-07,2063-07-10
DATE,7/9/2016,2016-07-09,2016-09-07
TIME,26/06/2013 at 09:06,2013-06-26T09:06,2013-06-26T09:06
DATE,today,2063-08-21,2016-09-07
DATE,29.8.63,2063-08-29,2063-08-29
DATE,28/8/2063,2063-08-28,2063-08-28
DATE,26.8.63,2063-08-26,2063-08-26
DATE,27.8.63,2063-08-27,2063-08-27
DATE,24/3/1980,1980-03-24,1980-03-24
DATE,29/8/2063,2063-08-29,2063-08-29
DATE,29.8.63,2063-08-29,2063-08-29
DATE,14/4/1984,1984-04-14,1984-04-14
TIME,27/06/2013 at 16:09,2013-06-27T16:09,2013-06-27T16:09
DATE,24.9.63,2063-09-24,2063-09-24
DATE,27.8.63,2063-08-27,2063-08-27
DATE,24.9.63,2063-09-24,2063-09-24
DATE,29/4/1984,1984-04-29,1984-04-29
TIME,28/06/2013 at 16:30,2013-06-28T16:30,2013-06-28T16:30
DATE,9.3.63,2063-09-03,2063-03-09
DATE,16/1/2063,2063-01-16,2063-01-16
DATE,15/1/2063,2063-01-15,2063-01-15
DATE,28/8/2001,2001-08-28,2001-08-28
TIME,01/07/2013 at 09:01,2013-07-01T09:01,2013-07-01T09:01
DATE,5/9/63,2063-09-05,2063-09-05
DATE,4/7/63,2063-04-07,2063-07-04
DATE,3.9.63,2063-09-03,2063-09-03
DATE,4.9.63,2063-09-04,2063-09-04
DATE,7/9/63,2063-07-09,2063-09-07
DATE,3.9.63,2063-09-03,2063-09-03
SET,twice,R2,R2
DATE,9/10/2063,2063-09-10,2063-10-09
DATE,9/7/63,2063-09-07,2063-07-09
DATE,21/9/2013,2013-09-21,2013-09-21
DATE,9/3/2063,2063-09-03,2063-03-09
TIME,at 14.48 on 1/7/13,2013-07-01T14:48,2013-07-01T14:48
DATE,9/4/63,2063-09-04,2063-04-09
DATE,9.1.63,2063-09-01,2063-01-09
DATE,10/9/2063,2063-10-09,2063-09-10
DATE,6/9/63,2063-09-06,2063-09-06
DATE,27/9/2063,2063-09-27,2063-09-27
DATE,26.9.63,2063-09-26,2063-09-26
DATE,9/5/63,2063-09-05,2063-05-09
DATE,26.9.63,2063-09-26,2063-09-26
DATE,22/8/2000,2000-08-22,2000-08-22
TIME,05/07/2013 at 15:35,2013-07-05T15:35,2013-07-05T15:35
DATE,9.10.63,2063-10-09,2063-10-09
DATE,3/3/2011,2011-03-03,2011-03-03
DATE,9/11/2063,2063-09-11,2063-11-09
DATE,9.12.63,2063-09-12,2063-12-09
TIME,4.10pm on 09.07.13,2013-07-09T16:10,2013-07-09T16:10
DATE,21/6/2002,2002-06-21,2002-06-21
TIME,10/07/2013 at 14:38,2013-07-10T14:38,2013-07-10T14:38
DATE,13.9.63,2063-09-13,2063-09-13
DATE,26/4/1996,1996-04-26,1996-04-26
TIME,10/07/2013 at 16:43,2013-07-10T16:43,2013-07-10T16:43
DATE,17.9.63,2063-09-17,2063-09-17
DATE,13.9.63,2063-09-13,2063-09-13
DATE,17.9.63,2063-09-17,2063-09-17
DATE,10/9/2008,2008-10-09,2008-09-10
TIME,11/07/2013 at 14:25,2013-07-11T14:25,2013-07-11T14:25
DATE,14.9.63,2063-09-14,2063-09-14
DATE,24/2/2030,2030-02-24,2030-02-24
TIME,16/07/2013 at 18:22,2013-07-16T18:22,2013-07-16T18:22
DATE,19.9.63,2063-09-19,2063-09-19
DATE,23/10/2000,2000-10-23,2000-10-23
DATE,19.9.63,2063-09-19,2063-09-19
DATE,18/7/1990,1990-07-18,1990-07-18
TIME,06/06/2013 at 16:49,2013-06-06T16:49,2013-06-06T16:49
DATE,8/9/63,2063-08-09,2063-09-08
DATE,29/9/2017,2017-09-29,2017-09-29
TIME,18/07/2013 at 20:58,2013-07-18T20:58,2013-07-18T20:58
DATE,21.9.63,2063-09-21,2063-09-21
DATE,3/9/63,2063-09-03,2063-09-03
DATE,24/1/2014,2014-01-24,2014-01-24
DATE,20/9/2063,2063-09-20,2063-09-20
DATE,10.11.63,2063-10-11,2063-11-10
DATE,20.9.63,2063-09-20,2063-09-20
DATE,10.11.63,2063-10-11,2063-11-10
DATE,26/7/1984,1984-07-26,1984-07-26
TIME,22/07/2013 at 19:27,2013-07-22T19:27,2013-07-22T19:27
DATE,25/9/63,2063-09-25,2063-09-25
DATE,4/6/2035,2035-06-04,2035-06-04
DATE,27/9/2063,2063-09-27,2063-09-27
DATE,2.9.63,2063-09-02,2063-09-02
DATE,27.9.63,2063-09-27,2063-09-27
DATE,2.9.63,2063-09-02,2063-09-02
DATE,15/12/2008,2008-12-15,2008-12-15
TIME,04/07/2013 at 15:45,2013-07-04T15:45,2013-07-04T15:45
DATE,7.9.63,2063-09-07,2063-09-07
DATE,6/6/1998,1998-06-06,1998-06-06
TIME,05/05/2014 at 19:41,2014-05-05T19:41,2014-05-05T19:41
DATE,8/7/64,2064-07-08,2064-07-08
DATE,6/12/2064,2064-06-12,2064-12-06
DATE,6/11/64,2064-06-11,2064-11-06
DATE,10/8/1981,1981-10-08,1981-08-10
TIME,06/05/2014 at 17:55,2014-05-06T17:55,2014-05-06T17:55
DATE,7.10.64,2064-07-10,2064-10-07
DATE,3/11/1990,1990-03-11,1990-11-03
TIME,20/03/2014 at 14:42,2014-03-20T14:42,2014-03-20T14:42
DATE,21.7.64,2064-07-21,2064-07-21
TIME,4:15pm on 20.3.14,2014-03-20T16:15,2014-03-20T16:15
DATE,23.5.64,2064-05-23,2064-05-23
DATE,21.7.64,2064-07-21,2064-07-21
SET,twice,R2,R2
DATE,18/9/2015,2015-09-18,2015-09-18
TIME,08/04/2014 at 10:00,2014-04-08T10:00,2014-04-08T10:00
DATE,18/6/64,2064-06-18,2064-06-18
DATE,16/6/64,2064-06-16,2064-06-16
DATE,18/6/64,2064-06-18,2064-06-18
DATE,6/10/2013,2013-06-10,2013-10-06
TIME,10/04/2014 at 14:40,2014-04-10T14:40,2014-04-10T14:40
DATE,21.7.64,2064-07-21,2064-07-21
TIME,10/4/14 at 15:50pm,2014-04-10T15:50,2014-04-10T15:50
DATE,13.6.64,2064-06-13,2064-06-13
SET,twice,R2,R2
DATE,24/1/2012,2012-01-24,2012-01-24
TIME,02/05/2014 at 11:38,2014-05-02T11:38,2014-05-02T11:38
DATE,8/7/64,2064-07-08,2064-07-08
DATE,1/4/2014,2014-04-01,2014-04-01
TIME,13/03/2014 at 19:00,2014-03-13T19:00,2014-03-13T19:00
DATE,22/5/64,2064-05-22,2064-05-22
DATE,5/6/64,2064-06-05,2064-06-05
DATE,5/6/64,2064-06-05,2064-06-05
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,17.7.64,2064-07-17,2064-07-17
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,8/61,2061-08,2061-08-01
DATE,17.7.64,2064-07-17,2064-07-17
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,2/11/63,2063-02-11,2063-11-02
DATE,23/12/2036,2036-12-23,2036-12-23
TIME,04/12/2013 at 12:00,2013-12-04T12:00,2013-12-04T12:00
DATE,13/2/63,2063-02-13,2063-02-13
DATE,11/1/1986,1986-01-11,1986-01-11
TIME,04/04/2014 at 14:12,2014-04-04T14:12,2014-04-04T14:12
DATE,22/7/64,2064-07-22,2064-07-22
DATE,9.6.64,2064-06-09,2064-06-09
DATE,22/7/64,2064-07-22,2064-07-22
DATE,17/7/2009,2009-07-17,2009-07-17
TIME,05/12/2013 at 13:17,2013-12-05T13:17,2013-12-05T13:17
DATE,12/2/63,2063-02-12,2063-02-12
DATE,18/2/63,2063-02-18,2063-02-18
DATE,9/1/2027,2027-01-09,2027-01-09
TIME,12/12/2013 at 12:00,2013-12-12T12:00,2013-12-12T12:00
DATE,19/2/63,2063-02-19,2063-02-19
DATE,26/2/2031,2031-02-26,2031-02-26
TIME,17/12/2013 at 12:10,2013-12-17T12:10,2013-12-17T12:10
DATE,19/12/2060,2060-12-19,2060-12-19
DATE,25/2/63,2063-02-25,2063-02-25
DATE,28/3/2024,2024-03-28,2024-03-28
TIME,19/12/2013 at 18:00,2013-12-19T18:00,2013-12-19T18:00
DATE,26/2/63,2063-02-26,2063-02-26
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,4/5/64,2064-04-05,2064-05-04
DATE,22/7/2064,2064-07-22,2064-07-22
TIME,1017Hrs on 16.1.14,2014-01-16T10:17,
DATE,23/3/64,2064-03-23,2064-03-23
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,3/3/64,2064-03-03,2064-03-03
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,20/4/64,2064-04-20,2064-04-20
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,183/4/2064,2064-04-183,
DATE,22/7/2064,2064-07-22,2064-07-22
TIME,110Hrs on 27.2.14,2014-02-27T11:00,
TIME,1217Hrson 27.2.14,2014-02-27T12:17,
TIME,1245Hrs on 27.2.14,2014-02-27T12:45,
DATE,5/7/64,2064-05-07,2064-07-05
DATE,7.4.2064,2064-07-04,2064-04-07
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,16/5/64,2064-05-16,2064-05-16
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,14/10/2062,2062-10-14,2062-10-14
DATE,16/1/2062,2062-01-16,2062-01-16
DATE,23/5/64,2064-05-23,2064-05-23
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,27/5/64,2064-05-27,2064-05-27
DATE,20/11/2021,2021-11-20,2021-11-20
TIME,20/03/2014 at 10:30,2014-03-20T10:30,2014-03-20T10:30
TIME,10:10hrs on 20/3/14,2014-03-20T10:10,
TIME,1155Hrs,2014-03-20T11:55,
TIME,1310Hrs,2014-03-20T13:10,
DATE,26/5/64,2064-05-26,2064-05-26
DATE,9/8/2036,2036-09-08,2036-08-09
TIME,26/03/2014 at 13:20,2014-03-26T13:20,2014-03-26T13:20
DATE,5/3/64,2064-05-03,2064-03-05
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,2062,2062,2062
TIME,11.20am,T11:20,T11:20
DATE,5/6/64,2064-06-05,2064-06-05
DATE,21/1/1987,1987-01-21,1987-01-21
TIME,03/04/2014 at 11:26,2014-04-03T11:26,2014-04-03T11:26
TIME,11.23pm 3/4/14,2014-04-03T23:23,2014-04-03T23:23
DATE,6/9/64,2064-06-09,2064-09-06
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,6/12/64,2064-06-12,2064-12-06
TIME,10:15am on 4/4/14,2014-04-04T10:15,2014-04-04T10:15
DATE,6/10/64,2064-06-10,2064-10-06
DATE,6/12/64,2064-06-12,2064-12-06
DATE,6/12/64,2064-06-12,2064-12-06
DATE,30/6/64,2064-06-30,2064-06-30
DATE,6/10/1987,1987-06-10,1987-10-06
TIME,08/04/2014 at 15:50,2014-04-08T15:50,2014-04-08T15:50
DATE,13/6/64,2064-06-13,2064-06-13
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,11/7/2063,2063-11-07,2063-07-11
DATE,24/6/64,2064-06-24,2064-06-24
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,23/5/64,2064-05-23,2064-05-23
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,30/5/64,2064-05-30,2064-05-30
DATE,28/8/2008,2008-08-28,2008-08-28
TIME,16/05/2014 at 14:45,2014-05-16T14:45,2014-05-16T14:45
DATE,21.7.64,2064-07-21,2064-07-21
DATE,3/10/2007,2007-10-03,2007-10-03
TIME,13/02/2014 at 10:30,2014-02-13T10:30,2014-02-13T10:30
DATE,28/4/64,2064-04-28,2064-04-28
DATE,3/10/2007,2007-10-03,2007-10-03
TIME,11/02/2014 at 08:09,2014-02-11T08:09,2014-02-11T08:09
TIME,10.06am on 11.2.14,2014-02-11T10:06,2014-02-11T10:06
DATE,19/4/64,2064-04-19,2064-04-19
DATE,12/12/2028,2028-12-12,2028-12-12
TIME,04/02/2014 at 12:00,2014-02-04T12:00,2014-02-04T12:00
DATE,11 0.63,2063-11,
DATE,4/8/64,2064-04-08,2064-08-04
DATE,20/11/1992,1992-11-20,1992-11-20
TIME,14/05/2014 at 11:08,2014-05-14T11:08,2014-05-14T11:08
DATE,17.7.64,2064-07-17,2064-07-17
DATE,17/9/2025,2025-09-17,2025-09-17
DATE,21/7/2064,2064-07-21,2064-07-21
TIME,11:19am on 19/5/14,2014-05-19T11:19,2014-05-19T11:19
DATE,22/7/64,2064-07-22,2064-07-22
DATE,10/1/2000,2000-01-10,2000-01-10
DATE,21/7/2064,2064-07-21,2064-07-21
DATE,21.7.64,2064-07-21,2064-07-21
DATE,23/7/2064,2064-07-23,2064-07-23
DATE,21.7.64,2064-07-21,2064-07-21
DATE,4/3/1998,1998-04-03,1998-03-04
TIME,20/05/2014 at 14:19,201405-20T14:19,2014-05-20T14:19
DATE,23/7/64,2064-07-23,2064-07-23
DATE,22/7/2064,2064-07-22,2064-07-22
DATE,06-Sep-2012,2062-11-08,2012-09-06
DATE,02-Dec-2011,2061-02-04,2011-12-02
DATE,16/5/64,2064-05-16,2064-05-16
DATE,24/8/2003,2003-08-24,2003-08-24
TIME,21/05/2014 at 15:55,2014-05-21T15:55,2014-05-21T15:55
DATE,24.7.64,2064-07-24,2064-07-24
DATE,27/10/2032,2032-10-27,2032-10-27
TIME,15/05/2014 at 08:36,2014-05-15T08:36,2014-05-15T08:36
DATE,5.8.64,2064-08-05,2064-08-05
DATE,8/61,2061-08,2061-08-01
DATE,17.7.64,2064-07-17,2064-07-17
DATE,5.8.64,2064-08-05,2064-08-05
SET,twice,R2,R2
DATE,12/8/2064,2064-08-12,2064-08-12
DATE,4/8/64,2064-04-08,2064-08-04
TIME,14.25 on 3.06.14,2014-06-03T14:25,2014-06-03T14:25
DATE,6.8.64,2064-08-06,2064-08-06
DATE,3/11/1991,1991-11-03,1991-11-03
DATE,23/7/2064,2064-07-23,2064-07-23
TIME,10:46am on 21.5.2014,2014-05-21T10:46,2014-05-21T10:46
DATE,24.7.64,2064-07-24,2064-07-24
DATE,28/7/2064,2064-07-28,2064-07-28
TIME,21/5/14 at 1:56pm,2014-05-21T13:56,2014-05-21T13:56
DATE,24/7/64,2064-07-24,2064-07-24
DATE,25/7/1995,1995-07-25,1995-07-25
DATE,29/7/2064,2064-07-29,2064-07-29
DATE,8.5.64,2064-08-05,2064-05-08
TIME,27.05.14 at 12:10pm,2014-05-27T12:10,2014-05-27T12:10
TIME,12:30pm on 27.5.14,2014-05-27T12:30,2014-05-27T12:30
DATE,30.7.64,2064-07-30,2064-07-30
DATE,7/1/64,2064-07-01,2064-01-07
DATE,8.5.64,2064-08-05,2064-05-08
DATE,30/12/2033,2033-12-30,2033-12-30
DATE,30/7/2064,2064-07-30,2064-07-30
DATE,1.7.64,2064-07-01,2064-07-01
DATE,9/2/2009,2009-09-02,2009-02-09
DATE,8/6/2064,2064-08-06,2064-06-08
TIME,16.15pm on 04.06.14,2014-06-04T16:15,2014-06-04T16:15
DATE,8.7.64,2064-08-07,2064-07-08
DATE,24/6/2003,2003-06-24,2003-06-24
TIME,03/06/2014 at 11:46,2014-06-03T11:46,2014-06-03T11:46
DATE,13/8/64,2064-08-13,2064-08-13
DATE,4/8/64,2064-04-08,2064-08-04
TIME,14.25 on 3.06.14,2014-06-03T14:25,2014-06-03T14:25
DATE,6.8.64,2064-08-06,2064-08-06
DATE,13/8/64,2064-08-13,2064-08-13
DATE,2/11/2010,2010-02-11,2010-11-02
TIME,15/05/2014 at 08:33,2014-05-15T08:33,2014-05-15T08:33
DATE,14.8.64,2064-08-14,2064-08-14
DURATION,2 months,P2M,P2M
DURATION,18 months,P18M,P18M
TIME,12:54pm on 15/5/14,2014-05-15T12:54,2014-05-15T12:54
DATE,18.7.64,2064-07-18,2064-07-18
DATE,14.8.64,2064-08-14,2064-08-14
DATE,8.12.64,2064-08-12,2064-12-08
DATE,now,2065-07-30,2064-12-08
DATE,20/7/2031,2031-07-20,2031-07-20
TIME,03/06/2014 at 16:59,2014-06-03T16:59,2014-06-03T16:59
DATE,8.7.64,2064-08-07,2064-07-08
DATE,2061,2061,2061
DATE,2057,2057,2057
DATE,20/7/2031,2031-07-20,2031-07-20
DATE,12/8/2064,2064-08-12,2064-08-12
TIME,10:50am on 10/6/14,2014-06-10T10:50,2014-06-10T10:50
DATE,13/8/64,2064-08-13,2064-08-13
DATE,28/1/1994,1994-01-28,1994-01-28
TIME,09/05/2014 at 14:24,2014-05-09T14:24,2014-05-09T14:24
DATE,2060,2060,2060
DATE,14.7.64,2064-07-14,2064-07-14
DATE,9/1/2004,2004-09-01,2004-01-09
TIME,12/06/2014 at 08:47,2014-06-12T08:47,2014-06-12T08:47
DATE,14/8/64,2064-08-14,2064-08-14
DATE,24/6/2003,2003-06-24,2003-06-24
TIME,03/06/2014 at 11:46,2014-06-03T11:46,2014-06-03T11:46
DATE,22/8/64,2064-08-22,2064-08-22
DATE,8/4/64,2064-08-04,2064-04-08
TIME,14.25 on 3.06.14,2014-06-03T14:25,2014-06-03T14:25
DATE,8.6.64,2064-08-06,2064-06-08
DATE,13/8/64,2064-08-13,2064-08-13
DATE,22.8.64,2064-08-22,2064-08-22
DATE,20.8.64,2064-08-20,2064-08-20
DATE,18/9/1998,1998-09-18,1998-09-18
TIME,20/05/2014 at 16:30,2014-05-20T16:30,2014-05-20T16:30
DATE,25/7/2064,2064-07-25,2064-07-25
